word,frequency,year
will,61,2010
people,32,2010
americans,28,2010
year,26,2010
one,25,2010
can,24,2010
jobs,23,2010
new,20,2010
work,20,2010
years,20,2010
us,19,2010
american,18,2010
america,18,2010
time,18,2010
families,17,2010
know,17,2010
now,17,2010
businesses,17,2010
two,16,2010
take,16,2010
small,15,2010
right,15,2010
economy,15,2010
energy,15,2010
thats,15,2010
