word,frequency,year
will,62,2006
america,38,2006
world,27,2006
us,22,2006
people,21,2006
must,20,2006
american,18,2006
country,17,2006
economy,16,2006
can,16,2006
freedom,15,2006
nation,15,2006
also,14,2006
new,13,2006
congress,12,2006
every,12,2006
year,11,2006
make,11,2006
tonight,11,2006
one,11,2006
years,11,2006
act,10,2006
support,10,2006
life,10,2006
lead,10,2006
