word,frequency,year
will,41,2014
can,35,2014
help,31,2014
new,29,2014
america,28,2014
work,27,2014
americans,27,2014
every,24,2014
people,24,2014
jobs,23,2014
make,22,2014
american,21,2014
years,21,2014
congress,20,2014
one,20,2014
us,20,2014
like,19,2014
thats,19,2014
lets,19,2014
get,17,2014
year,16,2014
just,15,2014
businesses,15,2014
tonight,14,2014
first,14,2014
