word,frequency,year
will,82,2009
can,26,2009
american,25,2009
know,22,2009
economy,22,2009
plan,21,2009
people,20,2009
new,20,2009
health,20,2009
every,20,2009
us,19,2009
care,18,2009
now,18,2009
america,17,2009
also,16,2009
must,15,2009
years,15,2009
education,14,2009
jobs,14,2009
energy,14,2009
time,14,2009
one,13,2009
budget,13,2009
americans,13,2009
make,12,2009
