word,frequency,year
will,58,2013
jobs,31,2013
can,24,2013
new,23,2013
america,23,2013
now,22,2013
years,22,2013
lets,20,2013
make,19,2013
tonight,19,2013
us,19,2013
people,18,2013
must,18,2013
like,18,2013
american,18,2013
energy,18,2013
families,17,2013
congress,17,2013
work,17,2013
year,17,2013
right,16,2013
even,16,2013
need,14,2013
every,14,2013
education,14,2013
