word,frequency,year
will,57,2012
american,33,2012
jobs,33,2012
america,29,2012
new,27,2012
right,26,2012
one,26,2012
can,26,2012
thats,24,2012
get,24,2012
tax,23,2012
energy,23,2012
every,22,2012
people,21,2012
now,20,2012
americans,20,2012
year,19,2012
like,19,2012
weve,18,2012
years,18,2012
country,17,2012
cant,16,2012
work,16,2012
back,16,2012
time,16,2012
