word,frequency,year
will,58,2011
can,37,2011
new,36,2011
us,33,2011
people,31,2011
now,25,2011
jobs,25,2011
years,25,2011
thats,24,2011
make,23,2011
just,21,2011
work,20,2011
american,19,2011
america,18,2011
government,18,2011
last,18,2011
know,17,2011
tonight,17,2011
need,16,2011
want,15,2011
year,15,2011
future,15,2011
world,15,2011
nation,15,2011
one,15,2011
