word,frequency,year
will,54,2008
people,30,2008
america,30,2008
must,29,2008
congress,27,2008
new,25,2008
year,24,2008
us,23,2008
iraq,21,2008
can,20,2008
help,19,2008
american,19,2008
nation,18,2008
trust,17,2008
also,17,2008
terrorists,14,2008
future,13,2008
world,13,2008
forces,13,2008
last,13,2008
iraqi,12,2008
ask,12,2008
country,12,2008
years,11,2008
come,11,2008
