word,frequency,year
will,43,2004
america,31,2004
can,31,2004
people,19,2004
must,18,2004
help,17,2004
health,17,2004
act,15,2004
new,15,2004
law,15,2004
iraq,14,2004
economy,14,2004
americans,14,2004
tonight,13,2004
american,13,2004
one,13,2004
children,13,2004
congress,12,2004
world,12,2004
war,12,2004
work,12,2004
free,11,2004
schools,11,2004
us,11,2004
country,11,2004
