word,frequency,year
us,33,2016
thats,30,2016
world,24,2016
will,22,2016
people,21,2016
america,21,2016
work,20,2016
can,20,2016
years,18,2016
year,17,2016
make,17,2016
just,16,2016
new,16,2016
american,16,2016
now,15,2016
economy,15,2016
change,15,2016
americans,15,2016
want,14,2016
weve,14,2016
every,14,2016
see,13,2016
need,13,2016
better,13,2016
even,13,2016
