word,frequency,year
will,48,2001
must,38,2001
budget,26,2001
tax,22,2001
government,17,2001
one,16,2001
can,16,2001
money,15,2001
social,15,2001
security,15,2001
years,15,2001
america,14,2001
people,14,2001
help,13,2001
year,13,2001
energy,13,2001
health,13,2001
make,12,2001
work,12,2001
good,12,2001
country,12,2001
care,12,2001
medicare,11,2001
new,11,2001
children,11,2001
