word,frequency,year
new,41,2015
will,35,2015
america,35,2015
us,29,2015
thats,29,2015
years,25,2015
every,24,2015
can,24,2015
make,23,2015
need,22,2015
people,22,2015
want,21,2015
time,21,2015
like,20,2015
work,20,2015
country,19,2015
american,19,2015
one,19,2015
world,18,2015
economy,18,2015
jobs,18,2015
americans,18,2015
now,17,2015
lets,17,2015
families,16,2015
