word,frequency,year
will,34,2007
us,29,2007
america,24,2007
must,18,2007
health,18,2007
people,17,2007
help,17,2007
can,17,2007
need,16,2007
iraq,16,2007
new,15,2007
government,15,2007
terrorists,14,2007
country,14,2007
insurance,14,2007
work,13,2007
take,13,2007
congress,12,2007
tonight,12,2007
united,12,2007
americans,12,2007
forces,11,2007
states,11,2007
years,11,2007
great,10,2007
