word,frequency,year
will,53,2003
people,31,2003
weapons,27,2003
world,25,2003
america,23,2003
country,20,2003
saddam,19,2003
hussein,19,2003
must,18,2003
many,17,2003
americans,17,2003
united,15,2003
every,15,2003
american,14,2003
one,14,2003
can,14,2003
us,14,2003
year,13,2003
nation,13,2003
years,13,2003
government,12,2003
nuclear,12,2003
million,12,2003
new,11,2003
war,11,2003
