word,frequency,year
will,49,2002
america,33,2002
security,19,2002
must,18,2002
world,17,2002
american,15,2002
terror,13,2002
good,13,2002
new,13,2002
war,12,2002
people,12,2002
weapons,12,2002
nation,11,2002
jobs,11,2002
afghanistan,10,2002
freedom,10,2002
country,10,2002
terrorist,10,2002
now,10,2002
terrorists,10,2002
citizens,9,2002
states,9,2002
congress,9,2002
every,8,2002
americans,8,2002
